car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,10,160000,Individual,Diesel,Automatic,14.84,2143,170.0,5,700000
Hyundai Grand,Hyundai,Grand,7,40000,Individual,Petrol,Manual,18.9,1197,82.0,5,540000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,49000,Dealer,Petrol,Automatic,14.74,1991,181.03,5,1290000
Mahindra Scorpio,Mahindra,Scorpio,11,160000,Individual,Diesel,Manual,10.5,2609,120.0,7,300000
Tata Nexon,Tata,Nexon,3,43000,Dealer,Diesel,Manual,21.5,1497,108.5,5,895000
BMW 3,BMW,3,8,87000,Dealer,Diesel,Automatic,18.88,1995,184.0,5,1175000
Maruti Swift Dzire,Maruti,Swift Dzire,5,52490,Dealer,Petrol,Manual,19.0,1197,85.8,5,465000
Hyundai Grand,Hyundai,Grand,3,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,520000
Toyota Innova,Toyota,Innova,9,121000,Dealer,Diesel,Manual,12.99,2494,100.0,8,1250000
Renault Duster,Renault,Duster,8,70931,Dealer,Diesel,Manual,19.01,1461,108.45,5,425000
Renault KWID,Renault,KWID,4,19000,Dealer,Petrol,Automatic,24.04,999,67.0,5,365000
Volkswagen Polo,Volkswagen,Polo,7,40000,Dealer,Petrol,Manual,16.47,1198,74.0,5,575000
Maruti Wagon R,Maruti,Wagon R,5,63554,Dealer,Petrol,Manual,20.51,998,67.04,5,350000
Mahindra Scorpio,Mahindra,Scorpio,4,100000,Individual,Diesel,Manual,15.4,1997,120.0,7,880000
Hyundai Grand,Hyundai,Grand,4,33000,Dealer,Petrol,Manual,18.9,1197,81.86,5,435000
Hyundai Verna,Hyundai,Verna,12,55000,Dealer,Petrol,Manual,13.9,1599,103.2,5,235000
Hyundai Verna,Hyundai,Verna,7,100000,Individual,Diesel,Manual,24.8,1396,88.7,5,700000
Maruti Vitara,Maruti,Vitara,3,42000,Dealer,Diesel,Manual,24.3,1248,88.5,5,765000
Toyota Fortuner,Toyota,Fortuner,6,48000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1930000
Renault Triber,Renault,Triber,2,7100,Individual,Petrol,Manual,20.0,999,72.0,7,710000
Maruti Alto,Maruti,Alto,11,69000,Dealer,Petrol,Manual,20.92,998,67.1,5,150000
Hyundai i20,Hyundai,i20,8,47000,Dealer,Petrol,Manual,17.0,1197,80.0,5,475000
Hyundai Verna,Hyundai,Verna,11,110000,Individual,Petrol,Manual,16.2,1599,103.2,5,250000
Hyundai Santro,Hyundai,Santro,2,10290,Dealer,Petrol,Automatic,20.3,1086,68.0,5,470000
Jeep Compass,Jeep,Compass,4,59500,Dealer,Diesel,Manual,17.1,1956,170.0,5,1365000
Hyundai i20,Hyundai,i20,11,100000,Individual,Petrol,Manual,17.0,1197,80.0,5,200000
Renault KWID,Renault,KWID,5,87000,Dealer,Petrol,Manual,22.3,799,53.26,5,325000
Datsun RediGO,Datsun,RediGO,4,40000,Individual,Petrol,Manual,22.7,799,53.64,5,280000
Tata Tiago,Tata,Tiago,3,35093,Dealer,Diesel,Manual,27.28,1047,69.0,5,440000
Mahindra Scorpio,Mahindra,Scorpio,14,76600,Dealer,Diesel,Manual,10.5,2179,120.0,7,375000
Toyota Innova,Toyota,Innova,8,80000,Dealer,Diesel,Manual,12.99,2494,100.0,8,600000
Maruti Vitara,Maruti,Vitara,4,32000,Dealer,Diesel,Manual,24.3,1248,88.5,5,845000
Hyundai i20,Hyundai,i20,3,25000,Dealer,Petrol,Manual,18.6,1197,81.83,5,599000
Maruti Vitara,Maruti,Vitara,5,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,735000
Maruti Celerio,Maruti,Celerio,7,76000,Individual,Petrol,Manual,23.1,998,67.04,5,325000
Toyota Camry,Toyota,Camry,7,53000,Dealer,Petrol,Automatic,12.98,2494,178.3,5,1099000
Toyota Yaris,Toyota,Yaris,3,25017,Dealer,Petrol,Automatic,17.8,1496,105.5,5,950000
Hyundai Grand,Hyundai,Grand,5,9229,Dealer,Petrol,Manual,18.9,1197,82.0,5,545000
Maruti Swift,Maruti,Swift,8,70000,Individual,Diesel,Manual,22.9,1248,74.0,5,330000
Maruti Swift Dzire,Maruti,Swift Dzire,6,50000,Dealer,Petrol,Manual,20.85,1197,83.14,5,450000
Maruti Ertiga,Maruti,Ertiga,6,81000,Dealer,CNG,Manual,22.8,1373,80.9,7,640000
Hyundai i10,Hyundai,i10,8,60000,Individual,Petrol,Manual,20.36,1197,78.9,5,230000
Maruti Celerio,Maruti,Celerio,7,100000,Individual,Petrol,Manual,23.1,998,67.04,5,340000
Porsche Panamera,Porsche,Panamera,11,25000,Dealer,Petrol,Automatic,7.5,4806,394.3,4,3800000
Hyundai i20,Hyundai,i20,9,115777,Dealer,Diesel,Manual,23.0,1396,90.0,5,475000
Hyundai Verna,Hyundai,Verna,8,60000,Individual,Diesel,Manual,22.32,1582,126.32,5,450000
Skoda Octavia,Skoda,Octavia,5,30000,Dealer,Petrol,Automatic,14.7,1798,177.5,5,1050000
Ford Figo,Ford,Figo,10,50000,Dealer,Petrol,Manual,15.6,1196,70.0,5,245000
Isuzu D-Max,Isuzu,D-Max,4,51000,Individual,Diesel,Manual,12.4,2499,134.0,5,1250000
Maruti Ertiga,Maruti,Ertiga,5,56829,Dealer,Diesel,Manual,20.77,1248,88.8,7,895000
Maruti Ciaz,Maruti,Ciaz,4,54552,Dealer,Petrol,Manual,20.73,1373,91.1,5,675000
Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,2,4000,Dealer,Petrol,Automatic,11.5,1991,245.0,5,4800000
BMW 6,BMW,6,8,24000,Dealer,Diesel,Automatic,9.52,2993,313.0,4,4000000
Maruti Vitara,Maruti,Vitara,4,100000,Individual,Diesel,Manual,24.3,1248,88.5,5,760000
Maruti Swift Dzire,Maruti,Swift Dzire,4,27000,Dealer,Diesel,Manual,28.4,1248,74.02,5,875000
Toyota Innova,Toyota,Innova,10,98000,Dealer,Diesel,Manual,12.99,2494,100.0,8,635000
Maruti Ertiga,Maruti,Ertiga,6,35020,Dealer,Diesel,Manual,24.2,1498,93.87,7,740000
Hyundai i20,Hyundai,i20,6,55000,Dealer,Petrol,Manual,18.6,1197,81.83,5,499000
Maruti Ertiga,Maruti,Ertiga,6,31000,Dealer,CNG,Manual,22.8,1373,80.9,7,685000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,7,48000,Dealer,Diesel,Automatic,11.78,2143,167.62,5,1431000
Ford Figo,Ford,Figo,7,67700,Dealer,Diesel,Manual,20.0,1399,68.05,5,285000
Mercedes-Benz GLS,Mercedes-Benz,GLS,3,15000,Dealer,Diesel,Automatic,11.0,2987,258.0,7,7199000
Maruti Swift Dzire,Maruti,Swift Dzire,2,14000,Dealer,Diesel,Manual,19.3,1248,73.9,5,725000
Volvo XC90,Volvo,XC90,2,25500,Dealer,Diesel,Automatic,17.2,1969,235.0,7,6975000
Maruti Swift Dzire,Maruti,Swift Dzire,8,82000,Dealer,Diesel,Manual,23.4,1248,74.0,5,425000
Maruti Wagon R,Maruti,Wagon R,5,77950,Dealer,CNG,Manual,26.6,998,58.16,5,340000
Maruti Vitara,Maruti,Vitara,3,35000,Individual,Diesel,Automatic,24.3,1248,88.5,5,1100000
Maruti Alto,Maruti,Alto,10,29000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
Renault KWID,Renault,KWID,4,29847,Dealer,Petrol,Automatic,24.04,999,67.0,5,485000
Hyundai Grand,Hyundai,Grand,5,35000,Individual,Petrol,Manual,18.9,1197,82.0,5,410000
BMW 5,BMW,5,4,55000,Dealer,Diesel,Automatic,22.48,1995,187.74,5,3600000
Maruti Baleno,Maruti,Baleno,4,57000,Dealer,Diesel,Manual,27.39,1248,74.0,5,685000
Hyundai Grand,Hyundai,Grand,6,23787,Dealer,Petrol,Manual,18.9,1197,82.0,5,515000
Volkswagen Polo,Volkswagen,Polo,6,117089,Dealer,Diesel,Manual,20.14,1498,88.8,5,450000
Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,21.9,1396,88.76,5,450000
Maruti Ciaz,Maruti,Ciaz,6,103000,Individual,Diesel,Manual,28.09,1248,88.5,5,530000
Mahindra XUV500,Mahindra,XUV500,9,100000,Individual,Diesel,Manual,15.1,2179,140.0,7,800000
Maruti Baleno,Maruti,Baleno,2,4300,Dealer,Petrol,Automatic,21.4,1197,83.1,5,790000
Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,306000
Jaguar XF,Jaguar,XF,8,58000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2085000
Volkswagen Polo,Volkswagen,Polo,6,68314,Dealer,Diesel,Manual,20.14,1498,88.8,5,531000
Renault KWID,Renault,KWID,3,15000,Individual,Petrol,Automatic,24.04,999,67.0,5,310000
Hyundai i10,Hyundai,i10,8,52000,Dealer,Petrol,Manual,20.36,1197,78.9,5,235000
Ford Endeavour,Ford,Endeavour,5,89000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2395000
Honda Jazz,Honda,Jazz,4,34000,Dealer,Petrol,Automatic,18.2,1199,88.7,5,550000
Hyundai i10,Hyundai,i10,10,91002,Dealer,Petrol,Manual,19.81,1086,68.05,5,205000
Honda City,Honda,City,4,43000,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
Toyota Innova,Toyota,Innova,7,70873,Dealer,Diesel,Manual,12.99,2494,100.6,7,1325000
Volkswagen Polo,Volkswagen,Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
Hyundai Elantra,Hyundai,Elantra,6,59000,Dealer,Diesel,Automatic,22.7,1582,126.2,5,875000
Maruti Vitara,Maruti,Vitara,5,54287,Dealer,Diesel,Manual,24.3,1248,88.5,5,660000
Hyundai i10,Hyundai,i10,9,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,190000
Maruti Ertiga,Maruti,Ertiga,8,30000,Dealer,Petrol,Manual,16.02,1373,93.7,7,580000
Honda Jazz,Honda,Jazz,5,39000,Dealer,Petrol,Manual,18.7,1199,88.7,5,545000
Volkswagen Polo,Volkswagen,Polo,6,47700,Dealer,Petrol,Automatic,17.21,1197,103.5,5,695000
Mercedes-Benz GLS,Mercedes-Benz,GLS,3,28000,Dealer,Petrol,Automatic,8.9,2996,333.0,7,7000000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,10,75000,Dealer,Diesel,Automatic,14.21,2143,203.0,5,1575000
Toyota Innova,Toyota,Innova,10,133000,Dealer,Diesel,Manual,12.99,2494,100.6,7,545000
Hyundai i20,Hyundai,i20,8,47000,Dealer,Petrol,Manual,17.0,1197,80.0,5,475000
Hyundai Grand,Hyundai,Grand,4,23000,Dealer,Petrol,Manual,18.9,1197,81.86,5,455000
Honda Jazz,Honda,Jazz,5,19000,Dealer,Diesel,Manual,27.3,1498,98.6,5,490000
Maruti Swift Dzire,Maruti,Swift Dzire,4,110000,Individual,Diesel,Manual,23.4,1248,74.0,5,550000
Mahindra XUV500,Mahindra,XUV500,5,56000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1275000
Hyundai Grand,Hyundai,Grand,5,68000,Dealer,Diesel,Manual,24.0,1120,70.0,5,399000
Hyundai Creta,Hyundai,Creta,5,52000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1050000
Maruti Alto,Maruti,Alto,4,11614,Trustmark Dealer,Petrol,Manual,23.95,998,67.05,5,350000
Volkswagen Polo,Volkswagen,Polo,4,100000,Individual,Diesel,Manual,20.14,1498,88.0,5,615000
Mercedes-Benz S-Class,Mercedes-Benz,S-Class,3,4000,Dealer,Petrol,Automatic,7.81,4663,459.0,4,13000000
Renault KWID,Renault,KWID,3,8000,Dealer,Petrol,Manual,25.17,799,53.3,5,300000
Toyota Innova,Toyota,Innova,5,125000,Dealer,Diesel,Manual,13.68,2393,147.8,8,1665000
Maruti Ertiga,Maruti,Ertiga,7,76000,Individual,Petrol,Manual,16.02,1373,93.7,7,450000
Maruti Dzire VXI,Maruti,Dzire VXI,1,10000,Individual,Petrol,Manual,23.26,1197,88.5,5,675000
Hyundai Verna,Hyundai,Verna,10,8000,Dealer,Petrol,Manual,17.01,1591,121.3,5,550000
Honda Jazz,Honda,Jazz,3,59000,Dealer,Petrol,Manual,18.7,1199,88.7,5,650000
Honda Amaze,Honda,Amaze,8,64000,Dealer,Diesel,Manual,25.8,1498,98.6,5,325000
Hyundai i20,Hyundai,i20,6,55000,Dealer,Petrol,Manual,17.19,1197,81.86,5,525000
Honda Amaze,Honda,Amaze,6,60500,Dealer,Petrol,Manual,18.0,1198,86.7,5,444000
Maruti Swift Dzire,Maruti,Swift Dzire,4,10000,Dealer,Petrol,Manual,21.21,1197,81.8,5,675000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,63000,Dealer,Petrol,Automatic,11.74,1796,186.0,5,1275000
Maruti Swift Dzire,Maruti,Swift Dzire,8,54000,Dealer,Diesel,Manual,23.4,1248,74.0,5,475000
Maruti Celerio,Maruti,Celerio,6,28951,Dealer,Petrol,Automatic,23.1,998,67.04,5,448000
BMW 3,BMW,3,10,51000,Dealer,Diesel,Automatic,16.07,1995,181.0,4,850000
Maruti Wagon R,Maruti,Wagon R,3,60000,Individual,Petrol,Manual,20.51,998,67.04,5,375000
Ford Ecosport,Ford,Ecosport,3,36000,Dealer,Diesel,Manual,23.0,1498,98.96,5,825000
Toyota Innova,Toyota,Innova,6,950000,Dealer,Diesel,Manual,12.99,2494,100.6,7,950000
Volkswagen Vento,Volkswagen,Vento,11,80000,Individual,Petrol,Automatic,14.8,1598,105.0,5,350000
Volkswagen Vento,Volkswagen,Vento,10,41000,Dealer,Petrol,Manual,15.04,1598,103.6,5,325000
Renault KWID,Renault,KWID,3,33124,Dealer,Petrol,Manual,25.17,799,53.3,5,335000
Honda City,Honda,City,11,115000,Individual,Petrol,Manual,17.0,1497,118.0,5,375000
Maruti Ignis,Maruti,Ignis,4,24000,Dealer,Petrol,Automatic,20.89,1197,81.8,5,545000
Maruti Baleno,Maruti,Baleno,2,13500,Individual,Petrol,Manual,21.01,1197,81.8,5,578000
Maruti Baleno,Maruti,Baleno,3,33100,Individual,Petrol,Manual,21.4,1197,83.1,5,515000
Maruti Baleno,Maruti,Baleno,5,49700,Dealer,Diesel,Manual,27.39,1248,74.0,5,550000
Maruti Baleno,Maruti,Baleno,3,11410,Dealer,Petrol,Manual,21.4,1197,83.1,5,725000
Maruti Wagon R,Maruti,Wagon R,11,82000,Dealer,Petrol,Manual,18.9,998,67.1,5,275000
Maruti Swift Dzire,Maruti,Swift Dzire,5,89000,Dealer,Diesel,Manual,26.59,1248,74.0,5,685000
Ford Figo,Ford,Figo,11,35500,Dealer,Petrol,Manual,15.6,1196,70.0,5,271000
Hyundai Grand,Hyundai,Grand,5,33000,Individual,Petrol,Manual,18.9,1197,82.0,5,450000
Ford Figo,Ford,Figo,8,145000,Individual,Diesel,Manual,20.0,1399,68.1,5,240000
Hyundai Grand,Hyundai,Grand,7,35000,Dealer,Petrol,Manual,18.9,1197,82.0,5,475000
Maruti Swift Dzire,Maruti,Swift Dzire,9,80000,Individual,Petrol,Manual,19.1,1197,85.8,5,400000
Skoda Rapid,Skoda,Rapid,7,65598,Dealer,Diesel,Manual,21.14,1498,103.6,5,465000
Hyundai i20,Hyundai,i20,6,24000,Dealer,Diesel,Manual,23.0,1396,90.0,5,660000
Toyota Innova,Toyota,Innova,3,44000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,2099000
Hyundai i20,Hyundai,i20,2,10000,Individual,Petrol,Automatic,17.4,1197,81.86,5,750000
Mahindra Scorpio,Mahindra,Scorpio,9,70000,Individual,Diesel,Automatic,11.79,2179,120.0,8,690000
Toyota Glanza,Toyota,Glanza,2,10000,Dealer,Petrol,Manual,21.01,1197,81.8,5,835000
Volkswagen Polo,Volkswagen,Polo,4,18171,Dealer,Petrol,Manual,16.2,1199,74.0,5,598000
Mahindra Bolero,Mahindra,Bolero,3,43214,Dealer,Diesel,Manual,15.96,2523,62.1,7,755000
